Time Stamp;Customer ID;Event Type;Category;Event Name;Num1;Num2;Var 1;Var 2;Var 3;Var 4;Var 5;EventName Attr1;EventName Attr2;EventName Attr3;EventName Attr4;EventName Attr5;EventName Attr6;EventName Attr7;EventName Attr8;EventName Attr9;Attr10;EventTransaction Attr1 - AttrN
2024-12-03 03:10:18;ca0653e7-b7d9-4e6c-bc41-583fe2161708;7;888;0;1;2;;;;;;;;;;;;;;;;f51e5204-b66a-4716-85d6-7ee623956634
2024-12-03 03:10:18;ca0653e7-b7d9-4e6c-bc41-583fe2161708;7;888;0;1;2;;;;;;;;;;;;;;;;aab2390f-8613-44ee-b783-4168c3cb719f
2024-12-03 03:10:18;ca0653e7-b7d9-4e6c-bc41-583fe2161708;7;888;0;1;2;;;;;;;;;;;;;;;;a3f8320e-f674-4e59-837d-2ef9249dd0c7
2024-12-03 03:10:18;ca0653e7-b7d9-4e6c-bc41-583fe2161708;7;888;0;1;2;;;;;;;;;;;;;;;;c60ff633-8bcf-4b03-bf5b-6931eb4a646f
2024-12-03 03:10:18;ca0653e7-b7d9-4e6c-bc41-583fe2161708;7;888;0;1;2;;;;;;;;;;;;;;;;e717f779-1f2b-4862-85d1-e0643659f2c7
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;5a9ba35c-dc90-4aa9-a563-40e0d0be2546
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;3d5b8853-c6d3-43c3-8ecb-91e9a201733a
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;e64be410-8e1d-4312-b033-bd015e4bae96
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;ea523d62-71fb-4c1c-8574-25a3c752e627
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;e5bb073d-f4d4-41ec-91a7-2784587b009f
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;100;;;;;;;;;;;;;;;;52398fb9-c6cf-446c-9f24-d844b5ab6d27
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;100;;;;;;;;;;;;;;;;52398fb9-c6cf-446c-9f24-d844b5ab6d27
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;100;;;;;;;;;;;;;;;;a629e638-9aee-4989-921e-aa11b9acffa3
2024-12-03 03:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;100;;;;;;;;;;;;;;;;a629e638-9aee-4989-921e-aa11b9acffa3
2024-12-03 02:10:18;7590f65d-4b45-45d9-8d8e-8a057e2f0836;7;888;0;1;2;;;;;;;;;;;;;;;;136c6eab-649c-4e0d-aecb-175b56974ffc
2024-12-03 02:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;ba57713e-c6b8-4fd9-9c6b-88d5b4949c89
2024-12-03 02:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;e70bd2fe-7d7c-40df-83ef-62816ade27b8
2024-12-03 02:10:18;3dbcae8e-9248-40d1-9b1a-bfdba04a4a2b;7;955;0;1;12;;;;;;;;;;;;;;;;928210fa-e8a0-4662-9670-28ad7053d5dc
2024-12-03 02:10:18;bb3206d9-ab44-4b55-92d3-e1536188a515;7;888;0;1;2;;;;;;;;;;;;;;;;5c2c5e2e-85bd-4948-9e0f-07ea9a7337a9
2024-12-03 02:10:18;bb3206d9-ab44-4b55-92d3-e1536188a515;7;888;0;1;2;;;;;;;;;;;;;;;;3d10fe49-e5aa-4b75-9588-44908574a7ad
